model,solver,mse,ari_fg
T=3 dt=1,Euler,0.0005133633208752144,0.9869764497011823
T=3 dt=1,Dopri5,0.0022329606723506005,0.961020567382913
T=4 dt=1,Euler,0.0005105421968328301,0.9884035639517661
T=4 dt=1,Dopri5,0.0014318412279244513,0.9807182822969969
T=5 dt=1,Euler,0.000547549990034895,0.9874998928117663
T=5 dt=1,Dopri5,0.0009355706628412008,0.9836436622821282
T=6 dt=1,Euler,0.0006014735503558768,0.9858301072468805
T=6 dt=1,Dopri5,0.001110336338635534,0.9827268739402555
